Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 38	|
| NT "S[dcl]\\(S[adj]\	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S[to]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\\NP)/(S[ad	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP\\PP"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(NP\\NP)/(S[dcl]	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(S[pt]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj]\\NP)/((S	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(NP\\NP)\\(NP\\N	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S\\NP)/(S[adj]	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 19	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[adj]\\NP[conj]	| 1.000	| 0.065	| 0.121	| 31	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 53	|
| NT "NP\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 26	|
| NT "S[qem]/(S[dcl]/(	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[dcl]/(S[adj]\\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]\\S[qem]"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[dcl]\\S[qem])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\S[qem]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[ng]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "S[dcl]\\(S[ng]\\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S/S)\\(S/S)"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[qem]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[qem]/S[dcl][co	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP[conj]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[for]"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[for]/(S[to]\\N	| 1.000	| 0.000	| 0.000	| 10	|
| NT "((S[dcl]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/(S[dcl]/NP)"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "N/PP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[dcl]\\S[dcl])	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(S[ng]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[poss]"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[em]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S[wq]"	| 0.727	| 0.258	| 0.381	| 31	|
| NT "(S/S)/S[inv]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[inv]/NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 14	|
| NT "S[q]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "S[q]/(S[b]\\NP)"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "S"	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(NP\\NP)/(S[ng]\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[b]"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S\\NP)/(S\\NP)[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/S[w	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S/S[conj]"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/(S[q]/NP)"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[q]/NP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[b]\\NP)/(S[b]	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[frg]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl]\\NP)/S[q	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[qem][conj]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 13	|
| NT "((S[ng]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[bem]"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[ng]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[pt]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[to]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/NP"	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(NP\\NP)\\NP"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[b][conj]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[ng]\\NP)/S[dc	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[adj]\\NP)/S[d	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[dcl]\\PP"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "NP/(NP\\NP)"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S/S)/(S[b]\\NP)	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP\\NP)/(S[to]\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[to]\\NP)/(S[b	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[pt]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]\\NP)/(S[p	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 6	|
| NT "PP\\NP"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[b]\\NP)/(S[ng	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S[ng]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(((S[ng]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]\\NP)/(S[b	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]\\NP)\\NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]\\NP)\\NP[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[q]/(S[pss]\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[intj]"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S\\S[conj]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pss]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 12	|
| NT "N/S[em]"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "N/S[em][conj]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[pss]\\NP[conj]	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[to]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(NP\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pss]\\NP)/(PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[b]\\NP)/NP[co	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[ng]\\NP)/NP[c	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[qem]/(S[dcl]\\	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]\\(S[pss]\	| 1.000	| 0.000	| 0.000	| 8	|
| NT "((S[b]\\NP)/PP)/	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\\NP)/S"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]/S[dcl])\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]/S[dcl])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[ng]"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "(S/S)\\NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/NP[	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pt]\\NP)/NP[c	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[qem]/S[dcl])\	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[adj]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S/S)/(S/S)"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[pss]"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S[pt]\\NP)/(S[n	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\\NP)/S[qem	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[b]\\NP)/S[dcl	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(NP\\NP)/N"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[adj]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[dcl]\\NP[thr]	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[pt]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pss]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((NP\\NP)\\NP)/(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]\\NP)/S[dc	| 1.000	| 0.000	| 0.000	| 2	|
| NT "NP/(S[dcl]\\NP)"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP[nb]/N)/PP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "N/(S[to]\\NP)"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "N/(S[to]\\NP)[co	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[qem]/(S[dcl]/N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\S[qem])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 1	|
| NT "conj[conj]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S/S[dcl]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\S)/(S\\S)"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\S)\\(S\\S)"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[dcl]\\NP)\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP/NP)/(NP/NP)"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[pt]\\NP)/(S[b	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[q]/(S[adj]\\NP	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(N/N)/N"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(N\\N)/N"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[q]/(S[ng]\\NP)	| 1.000	| 0.000	| 0.000	| 3	|
| NT "((S[adj]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[qem]/(S[dcl]/	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\NP)\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]\\NP)/S[qe	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)/(S\\NP)	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[dcl]\\NP)/(S	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP/(S[ng]\\NP)"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S\\(S/NP)"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[pt]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[b]\\NP)/PP)/	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[adj]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/((S	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[ng][conj]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[b]\\NP)/S[for	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[b]\\NP)/S[fo	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[dcl]\\(S[b]\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S[dcl]\\NP[exp	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[thr]	| 1.000	| 0.000	| 0.000	| 2	|

| micro	| 0.877	| 0.877	| 0.877	| 176805	|
| macro	| 0.977	| 0.071	| 0.076	| 176805	|
| w-avg	| 0.878	| 0.877	| 0.863	| 176805	|

Confusion matrix: 
