Scores:
|	| Prec 	| Rec 	| F1 	| Supp 	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 38	|
| NT "S[dcl]\\(S[adj]\	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S[to]\\NP)/NP"	| 1.000	| 0.000	| 0.000	| 25	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[b]\\NP)/(S[ad	| 1.000	| 0.000	| 0.000	| 8	|
| NT "PP\\PP"	| 1.000	| 0.000	| 0.000	| 11	|
| NT "(NP\\NP)/(S[dcl]	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(S[pt]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj]\\NP)/((S	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(NP\\NP)\\(NP\\N	| 1.000	| 0.000	| 0.000	| 14	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 6	|
| NT "((S\\NP)/(S[adj]	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 19	|
| NT "((S[adj]\\NP)\\(	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S\\NP)\\(((S\\N	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[adj]\\NP[conj]	| 1.000	| 0.000	| 0.000	| 31	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 53	|
| NT "NP\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 26	|
| NT "S[qem]/(S[dcl]/(	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[dcl]/(S[adj]\\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[dcl]\\S[qem]"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S[dcl]\\S[qem])	| 1.000	| 0.000	| 0.000	| 1	|
| NT "((S[dcl]\\S[qem]	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 2	|
| NT "S[ng]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 21	|
| NT "S[dcl]\\(S[ng]\\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S/S)\\(S/S)"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[qem]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 8	|
| NT "S[qem]/S[dcl][co	| 1.000	| 0.000	| 0.000	| 1	|
| NT "PP[conj]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[for]"	| 1.000	| 0.000	| 0.000	| 10	|
| NT "S[for]/(S[to]\\N	| 1.000	| 0.000	| 0.000	| 10	|
| NT "((S[dcl]\\NP)/PP	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/(S[dcl]/NP)"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "N/PP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[dcl]\\S[dcl])	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(S[ng]\\NP)/(S[a	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[poss]"	| 1.000	| 0.000	| 0.000	| 7	|
| NT "S[em]/S[dcl]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[ng]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 30	|
| NT "S[wq]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "(S/S)/S[inv]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[inv]/NP"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[pt]\\NP)/PP"	| 1.000	| 0.000	| 0.000	| 14	|
| NT "S[q]"	| 1.000	| 0.000	| 0.000	| 31	|
| NT "S[q]/(S[b]\\NP)"	| 1.000	| 0.000	| 0.000	| 9	|
| NT "S"	| 1.000	| 0.000	| 0.000	| 29	|
| NT "(NP\\NP)/(S[ng]\	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[b]"	| 1.000	| 0.000	| 0.000	| 27	|
| NT "(S\\NP)/(S\\NP)[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(S[dcl]\\NP)/S[w	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S/S[conj]"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[wq]/(S[q]/NP)"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[q]/NP"	| 1.000	| 0.000	| 0.000	| 4	|
| NT "(S[b]\\NP)/(S[b]	| 1.000	| 0.000	| 0.000	| 8	|
| NT "(S[dcl]\\NP[expl	| 1.000	| 0.000	| 0.000	| 4	|
| NT "S[frg]"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[dcl]\\NP)/S[q	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[qem][conj]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "((S\\NP)\\(S\\NP	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[adj]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 13	|
| NT "((S[ng]\\NP)/PP)	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[bem]"	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(S[ng]\\NP)/(S[t	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[pt]\\NP)/S[em	| 1.000	| 0.000	| 0.000	| 3	|
| NT "S[to]"	| 1.000	| 0.000	| 0.000	| 1	|
| NT "NP/NP"	| 1.000	| 0.000	| 0.000	| 28	|
| NT "(NP\\NP)\\NP"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S\\NP)\\((S\\NP	| 1.000	| 0.000	| 0.000	| 13	|
| NT "(S[dcl]\\NP)/(S[	| 1.000	| 0.000	| 0.000	| 1	|
| NT "S[b][conj]"	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[ng]\\NP)/S[dc	| 1.000	| 0.000	| 0.000	| 2	|
| NT "(S[adj]\\NP)/S[d	| 1.000	| 0.000	| 0.000	| 6	|
| NT "S[dcl]\\PP"	| 1.000	| 0.000	| 0.000	| 6	|
| NT "NP/(NP\\NP)"	| 1.000	| 0.000	| 0.000	| 5	|
| NT "(S/S)/(S[b]\\NP)	| 1.000	| 0.000	| 0.000	| 3	|
| NT "(((S\\NP)\\(S\\N	| 1.000	| 0.000	| 0.000	| 1	|
| NT "(NP\\NP)/(S[to]\	| 1.000	| 0.000	| 0.000	| 6	|
| NT "(S[to]\\NP)/(S[b	| 1.000	| 0.000	| 0.000	| 5	|
| NT "S[pt]\\NP[conj]"	| 1.000	| 0.000	| 0.000	| 9	|
